RegistrationNumber,AircraftCategory,Make,Model,AmateurBuilt,NumberofEngines,EngineType,takeoff_max_weight,AirportCode
 N8158B , Airplane , Airbus Industrie , A330-323 , No ,2, Turbo Fan ,2802, LOM 
 N9086Y , Airplane , MCDONNELL DOUGLAS , DC-9-83 , No ,2, Turbo Fan ,1860, T67 
 N572E , Ultralight , Infinity , Commander , No ,1, Reciprocating ,4750, 6AZ8 
 N3070A , Airplane , PIPER , PA-32R , No ,1, Reciprocating ,12500, OK68 
 N418MS , Airplane , Cessna ,172, No ,  , Reciprocating ,1388, KSPI 
 N8305V , Airplane , Piper , PA-18-150 , No ,1, Reciprocating ,4570, KAGC 
 N9371M , Airplane , Cessna ,185, No ,1, Reciprocating ,8000, PHX 
 N212CG , Airplane , Cessna , 170B , No ,1, Reciprocating ,12500, ASN 
 N66012 , Airplane , Found Acft , FBA-2C2 , No ,1, Reciprocating ,2500, PABE 
 N109SK , Airplane , Champion , 7GCAA , No ,1, Reciprocating ,1294, JFK 
 N901TP , Airplane , Mooney , M20F , No ,1, Reciprocating ,10848, PANI 
 N844SH , Airplane , Cessna ,182, No ,1, Reciprocating ,2299, 6S1 
 N131RV , Helicopter , Brooks , Exec 162F , Yes ,1, Reciprocating ,6300, ORD 
 N28836 , Helicopter , Agusta , A109 , No ,2, Turbo Shaft ,1697, KPVD 
 N4814L , Helicopter , Partenavia , AP 68 TP , No ,  , Reciprocating ,2649, PHG 
 N1919H , Helicopter , Robinson , R22 Beta , No ,1, Reciprocating ,4750, I83 
 N49962 , Airplane , Portman , RV-7A , Yes ,1, Reciprocating ,3999, FAT 
 C-FMKB , Airplane , CESSNA ,310, No ,2, Reciprocating ,1697, SEE 
 N7229R , Airplane , Piper , PA28-180 , No ,1, Reciprocating ,2649, MTH 
 N5957F , Airplane , Piper , PA-32R-300 , No ,1, Reciprocating ,9649, LNS 
 N954PA , Airplane , Cessna ,152, No ,1, Reciprocating ,1697, HXD 
 N17784 , Airplane , DOUGLAS , DC-3T , No ,2, Reciprocating ,1294, MLS 
 N5811M , Airplane , Eldredge , Aircamper SDE , Yes ,1, Reciprocating ,3800, SVH 
 N13616 , Airplane , Cessna ,210, No ,1, Reciprocating ,4570, PCM 
 N5499J , Airplane , Cessna , 208B , No ,  , Reciprocating ,1697, LPR 
 N2180E , Airplane , Beech , V35B , No ,1, Reciprocating ,1697, KSMN 
 N5187B , Airplane , Cessna , 310P , No ,2, Reciprocating ,2500, 89NC 
 N272SK , Airplane , Cirrus , SR22 , No ,  , Reciprocating ,6300, W66 
 N111AX , Airplane , Cessna , Citation 510 , No ,2, Turbo Jet ,5299, JVY 
 N7252Y , Airplane , Cessna , 310R , No ,2, Reciprocating ,4570, AUW 
 N918SW , Airplane , Cessna , 172N , No ,1, Reciprocating ,2500, 9D9 
 N470ZW , Airplane , CESSNA , 208B , No ,1, Turbo Prop ,3600, SFF 
 N751SA , Airplane , EMBRAER ,145, No ,2, Reciprocating ,1455, NONE 
 N63LH , Airplane , Airbus Industrie , A-320 , No ,  , Reciprocating ,4750, BAM 
 N45500 , Airplane , Reims , F172 M , No ,1, Reciprocating ,4299, KEVB 
 N407AK , Airplane , Beech ,1900, No ,2, Turbo Prop ,1697, 40E 
 N24DN , Airplane , GRUMMAN , G164A , No ,1, Reciprocating ,1697, L18 
 N414HP , Airplane , Piper , PA-30 , No ,2, Reciprocating ,1697, LCK 
 B-2477 , Airplane , Bombardier , CL-600-2B19 , No ,2, Turbo Fan ,5000, 0IN1 
 N220UA , Airplane , BOMBARDIER , CL600-2B19 , No ,2, Turbo Fan ,3968, FCH 
 N567SP , Airplane , Boeing , 747-228F , No ,  , Reciprocating ,4629, ILG 
 N184JB , Airplane , Mooney , M20C , No ,  , Reciprocating ,3800, HBG 
 N801VC , Airplane , Garniss , STOL 701 , Yes ,1, Reciprocating ,3198, BWI 
 N777EV , Airplane , Bell ,407, No ,1, Turbo Shaft ,2799, COE 
 N961PH , Airplane , Levick , RAF-2000-GTX-SE , Yes ,1, Reciprocating ,1697, 21FA 
 N310RV , Airplane , Eurocopter France , AS350 B3 , No ,1, Turbo Shaft ,1697, GAI 
 N112ED , Airplane , BOEING , B747-433BCF , No ,4, Reciprocating ,11900, KTMB 
 N199JW , Airplane , Boeing , 777-222 , No ,2, Turbo Fan ,1860, 0A7 
 N7188J , Airplane , Cessna , 172S , No ,1, Reciprocating ,1697, L09 
 N50DS , Airplane , EMBRAER , EMB-190 , No ,2, Turbo Fan ,4574, H96 
 N364KW , Airplane , PIPER , PA32-260 , No ,1, Reciprocating ,3800, LBE 
 N2699G , Airplane , Beech , BE-55 , No ,2, Reciprocating ,5599, RSW 
 N925TT , Airplane , Maule , M-7-235 , No ,1, Reciprocating ,2749, 1F9 
 N3699S , Airplane , Bell , 204B , No ,  , Reciprocating ,3417, PAWS 
 N5481D , Airplane , Cessna , 310J , No ,2, Reciprocating ,3198, KISM 
 N24478 , Airplane , Piper , PA-31T , No ,2, Turbo Prop ,2550, KRVS 
 N5431C , Airplane ," Wootton, John ", Aero Canard , Yes ,1, Reciprocating ,3600, E80 
 N2151J , Airplane , ROBINSON HELICOPTER , R22 BETA , No ,1, Reciprocating ,3968, VNC 
 N173DA , Airplane ," Bombardier, Inc. ", BD-700-1A11 , No ,  , Reciprocating ,18300, OWB 
 N43682 , Airplane , BEECH , A36TC , No ,1, Reciprocating ,1697, FBL 
 N9048T , Airplane ," Smith, Ted Aerostar ", Aerostar 601 , No ,2, Reciprocating ,1697, TMB 
 N5921D , Airplane , BEECH ,200, No ,2, Turbo Prop ,1697, FFZ 
 N766CC , Airplane , Cessna , 172E , No ,1, Reciprocating ,4570, HQZ 
 C-GPIA , Airplane , Beech , C90B , No ,  , Reciprocating ,1697, AUN 
 N2643C , Airplane , BEECH , H35 , No ,1, Reciprocating ,1697, LFMN 
 N4388P , Airplane , Cessna , T210 , No ,  , Reciprocating ,1697, TWF 
 N130SX , Airplane , CESSNA ,152, No ,1, Reciprocating ,1697, SWF 
 N6024M , Airplane , CESSNA , T210N , No ,1, Reciprocating ,1697, CRQ 
 N700H , Airplane , Cessna , Skyhawk 172 , No ,1, Reciprocating ,12500, BGM 
 N44528 , Airplane , Cessna ,172, No ,1, Reciprocating ,1697, RMN 
 N28MG , Airplane , Fisher Aero , Celebrity , Yes ,1, Reciprocating ,3968, KM93 
 N43274 , Airplane , Cessna ,182, No ,1, Reciprocating ,1157, MER 
 N75068 , Airplane , Piper , PA-22-150 , No ,1, Reciprocating ,1697, MKO 
 N46969 , Airplane , PIPER , PA-30 , No ,2, Reciprocating ,3198, TBR 
 N805EH , Airplane , Piaggio Aero Industries S.P.A. , Avanti P-180 , No ,2, Turbo Prop ,5299, DAL 
 N70035 , Airplane , Cessna , R182 , No ,1, Reciprocating ,4750, LFPG 
 N105PP , Airplane , Piper , PA-28-236 , No ,1, Reciprocating ,8000, SBA 
 N29RV , Airplane , Messing Roy , Sonex , Yes ,1, Reciprocating ,1697, MBT 
 N141LG , Airplane , Air Tractor , AT-401 , No ,1, Reciprocating ,1499, EIK 
 N551GF , Airplane , Senft/Anderson/salmon , C-5 , Yes ,1, Reciprocating ,1697, MKC 
 N79GP , Airplane , Piper , PA-28-180 , No ,1, Reciprocating ,3600, UGN 
 N259ER , Airplane , Cessna ,210, No ,  , Reciprocating ,9649, C83 
 N169LC , Airplane , CESSNA , 208B , No ,2, Turbo Prop ,3600, HYA 
 N874SR , Airplane , PIPER , PA-28R-200 , No ,1, Reciprocating ,4750, 4AK6 
 N95CH , Airplane , Schweizer , 269C , No ,1, Reciprocating ,6999, IXD 
 N6135M , Airplane , Bell , UH-1B , No ,1, Turbo Shaft ,21999, OCF 
 N1181Y , Airplane , Robinson , R22 Beta , No ,1, Reciprocating ,1697, KSLC 
 N8770M , Airplane , ROBINSON HELICOPTER , R22 BETA , No ,1, Reciprocating ,5399, SEZ 
 N7016M , Airplane , BEECH ,60, No ,2, Reciprocating ,1697, AZ82 
 N141CD , Airplane , Vans Aircraft , RV-6 , Yes ,1, Reciprocating ,1600, PRIV 
 N103JT , Airplane , Eurocopter Deutschland , BK117C1 , No ,2, Turbo Shaft ,15099, NH69 
 N201VX , Airplane ," Bombardier, Inc. ", CRJ1 , No ,  , Reciprocating ,9649, 79NC 
 N64197 , Airplane , Airbus Industrie , A320 , No ,  , Reciprocating ,4750, KMMV 
 N8965R , Airplane , CESSNA ,551, No ,2, Turbo Fan ,1455, KSGR 
 N148ND , Airplane , PORTER GLEN , AVENTURA II , Yes ,1, Reciprocating ,2200, E95 
 N6555D , Airplane , CESSNA , 172N , No ,1, Reciprocating ,3417, MDD 
 N5134N , Airplane , Cessna ,152, No ,1, Reciprocating ,2799, 80KY 
 N222LF , Airplane , Cirrus , SR22 , No ,1, Reciprocating ,2899, HWO 
 N3NG , Airplane , Bell , 206-L4 , No ,1, Turbo Shaft ,8000, APC 
 N2159M , Airplane , McDonnell Douglas , MD-83 ,  ,  , Reciprocating ,2649, LL53 
 N74SR , Airplane , Cessna ,152, No ,1, Reciprocating ,1697, PAQ 
 N461TC , Airplane , Piper , PA-18-135 , No ,1, Reciprocating ,1697, L73 
 N3364G , Airplane , Beech , A23 , No ,1, Reciprocating ,1697, MOR 
 N482SR , Airplane , SWEARINGEN T R/MASTERS W , Rand KR 2 , Yes ,1, Reciprocating ,1697, 1F0 
 N1055L , Airplane , Cirrus Design Corp. , SR-20 , No ,  , Reciprocating ,3648, OPF 
 N3744F , Airplane , Vans Aircraft , RV-8 , Yes ,1, Reciprocating ,4750, O16 
 N4948P , Airplane , Mooney , M20J , No ,1, Reciprocating ,1697, CNO 
 N3250B , Airplane , Cessna , 172P , No ,1, Reciprocating ,4570, FTW 
 N4191D , Airplane , Aeronca , 7JC , No ,1, Reciprocating ,1499, FYJ 
 N442FA , Airplane , Piper , PA-28-161 , No ,1, Reciprocating ,12500, KBNA 
 N8301M , Airplane , CESSNA , 172N , No ,1, Reciprocating ,6499, CEZ 
 N104EA , Airplane , Cessna , 182Q , No ,1, Reciprocating ,1697, 1I5 
 N3459T , Airplane , BELL , 222 UT , No ,2, Turbo Jet ,4570, KTCL 
 N1611B , Airplane , CESSNA , T210M , No ,1, Reciprocating ,3198, D74 
 N172MG , Airplane , HERINK H R/HERINK R W , CHALLENGER , Yes ,1, Reciprocating ,4570, FD93 
 N123SD , Airplane ," Godwin, David P ", Sorrell SNJ-7 , Yes ,1, Reciprocating ,4299, 50S 
 N108GD , Airplane , Cessna ,152, No ,1, Reciprocating ,4299, AXH 
 N61480 , Airplane , Robinson , R-44 , No ,  , Reciprocating ,1697, VT46 
 N1831L , Airplane , CESSNA , 310R , No ,2, Reciprocating ,1697, FWS 
 N6147B , Airplane , Cirrus Design Corp. , SR22 , No ,1, Reciprocating ,4199, 7S5 
 N707BS , Airplane , Lake , LA-4-200 , No ,1, Reciprocating ,1697, 4SD 
 N252DD , Airplane , Boeing , 737-832 , No ,2, Turbo Fan ,6999, 4G1 
 N463SH , Airplane , Cessna ,152, No ,1, Reciprocating ,2200, PFN 
 N2237D , Airplane , Piper , PA-18A-135 , No ,1, Reciprocating ,1851, 2D1 
 N5803A , Airplane , Diamond Aircraft Industries , DA-20-C1 , No ,1, Reciprocating ,1697, LAF 
 N170BP , Airplane , Robinson , R22 , No ,1, Reciprocating ,2550, SIAV 
 N3318E , Airplane , Cessna , A150K , No ,1, Reciprocating ,1697, 61S 
 N45137 , Airplane , Hiller , UH-12E , No ,1, Turbo Shaft ,18300, DVT 
 N6492E , Airplane , Cessna ,177, No ,1, Reciprocating ,16100, O15 
 N676SW , Airplane , Boeing , 767-300 , No ,2, Turbo Fan ,5299, 03S 
 N4448Y , Airplane , Cessna , 172N , No ,1, Reciprocating ,5000, BKX 
 N191PS , Airplane , Bell , 206A , No ,1, Turbo Shaft ,6999, 1V6 
 N987M , Airplane , CIRRUS DESIGN CORP , SR20 , No ,1, Reciprocating ,2299, CLT 
 N4396T , Airplane , Boeing , B737-400 , No ,  , Reciprocating ,6999, KUDD 
 N810MH , Airplane , Schweizer , 269C , No ,1, Reciprocating ,3600, LAM 
 N617EV , Airplane , Beech , 95-B55 , No ,2, Reciprocating ,2200, DLH 
 N55307 , Airplane , Cessna , 182A , No ,1, Reciprocating ,11600, 2WA1 
 N444CB , Airplane , American Champion Aircraft , 7GCBC , No ,1, Reciprocating ,5299, ACY 
 N947DM , Airplane , MOONEY , M20K , No ,1, Reciprocating ,3798, LNA 
 N435M , Airplane , Robinson , R22 BETA , No ,1, Reciprocating ,4299, 82J 
 N274ER , Airplane , Ayres , S2R-G1 , No ,1, Turbo Prop ,1499, SWO 
 N9610W , Airplane , Cessna ,172, No ,1, Reciprocating ,6750, CMA 
 N439MA , Airplane , Cessna , 170B , No ,1, Reciprocating ,12500, RNP 
 N46110 , Airplane , Cessna , 172N , No ,1, Reciprocating ,3968, RNM 
 N120AB , Airplane , Cessna ,150, No ,1, Reciprocating ,3600, 1Q4 
 N9198C , Airplane , Cessna , 337G , No ,  , Reciprocating ,3968, SUA 
 N84859 , Airplane , Cessna , 172N , No ,1, Reciprocating ,1294, GJT 
 N3656R , Airplane , BOEING , 737-300 , No ,2, Turbo Fan ,3968, KLGB 
 N31495 , Airplane , BOEING ,777, No ,2, Reciprocating ,4570, LXL 
 N5248E , Airplane , Padelt , PG37-1 , Yes ,  , Reciprocating ,1294, FMY 
 N38PC , Airplane , Gomory , Long EZ , Yes ,1, Reciprocating ,3600, 2FA5 
 N284BA , Airplane , Cessna , 210L , No ,1, Reciprocating ,3600, KFRG 
 None , Airplane , Piper , PA-28-140 , No ,1, Reciprocating ,2649, KEDE 
 N209LS , Airplane , Eurocopter France , EC 130 B4 , No ,1, Turbo Shaft ,3968, 55AK 
 N9592U , Airplane , Cessna ,404, No ,  , Reciprocating ,3600, 3B1 
 N7716K , Airplane , Evektor-Aerotechnik , Sportstar Plus , No ,1, Reciprocating ,9060, 8A1 
 N41535 , Airplane , PIPER , PA-28R-200 , No ,1, Reciprocating ,12345, SAF 
 N131AB , Airplane , Aero Commander , GA-500-B , No ,2, Reciprocating ,3968, DAG 
 N3038P , Airplane , Czech Aircraft Works , Sport Cruiser , No ,1, Reciprocating ,3600, KLFK 
 N2PR , Airplane , Beech , A36 , No ,1, Reciprocating ,3000, FAR 
 N9192X , Airplane , Piper , PA-44-180 , No ,2, Reciprocating ,3600, PVT 
 N2813Z , Airplane , Piper , PA-28-140 , No ,1, Reciprocating ,3999, ARA 
 N42RF , Airplane , American Champion (ACAC) , 8GCBC , No ,1, Reciprocating ,8000, PCZ 
 N11764 , Airplane , Rotorway , Exec 162-F , Yes ,1, Reciprocating ,1697, GLD 
 N9151R , Airplane , Cessna ,120, No ,1, Reciprocating ,1860, K1L8 
 N6895Z , Airplane , Cessna ,180, No ,1, Reciprocating ,1369, L94 
 N555BH , Airplane , PIPER , PA-31-350 , No ,2, Reciprocating ,1455, STC 
 N4830B , Airplane , Piper , PA-28-180 , No ,1, Reciprocating ,12345, 53U 
 N881CP , Airplane , Maule , MX-7-180A , No ,1, Reciprocating ,4570, CBE 
 N381MC , Airplane , Cessna ,180, No ,1, Reciprocating ,1697, 5C1 
 N3627B , Airplane ," Brand, Richard ", Bateleur 2000 , Yes ,1, Reciprocating ,1697, LVJ 
 N18R , Airplane , LET , L-33 Solo , No ,0, Reciprocating ,5000, MKG 
 N701SE , Airplane , Titan Aircraft , Tornado I , Yes ,1, Reciprocating ,2649, 7S3 
 N5049Q , Airplane , GULFSTREAM AEROSPACE , G-IV , No ,2, Turbo Fan ,3600, 1AR9 
 N30GC , Airplane , Grumman American , AA-5A , No ,1, Reciprocating ,10950, DEN 
 N831SD , Airplane , Cessna , P210N , No ,1, Reciprocating ,5299, MFE 
 N3257B , Airplane , Piper , PA-28-151 , No ,1, Reciprocating ,1697, GEU 
 C-GNSR , Airplane , PIPER , PA-25-235 , No ,1, Reciprocating ,1697, KBAZ 
 N7208B , Airplane , Piper , PA-34-200T , No ,2, Reciprocating ,1294, PDK 
 N723EP , Airplane , Sea & Air Sales , Searey , Yes ,1, Reciprocating ,1697, KMEM 
 N5555R , Airplane , Air Tractor , AT-502 , No ,1, Turbo Shaft ,4570, HSA 
 N6ZT , Airplane , Piper , PA-22-150 , No ,1, Reciprocating ,2949, HAA 
 N8356C , Airplane , LOCKHEED , WP-3D , No ,4, Turbo Prop ,9649, HLX 
 N46009 , Airplane , Cessna ,150, No ,1, Reciprocating ,1697, AFO 
 N601AG , Airplane , Scottish , Bulldog 120 , No ,1, Reciprocating ,5000, CNU 
 N89120 , Airplane , PIPER , PA-60-602P , No ,2, Reciprocating ,3399, 35KY 
 N980JH , Airplane , Bell ,407, No ,1, Turbo Shaft ,4149, 8U8 
 N27S , Airplane , Cessna ,152, No ,1, Reciprocating ,3968, OSU 
 N457EZ , Airplane , CESSNA , T182T , No ,1, Reciprocating ,1697, TAD 
 N8353L , Airplane , HUGHES , 269C , No ,1, Reciprocating ,4570, FES 
 N3189Z , Airplane , BEECH , A36 , No ,1, Reciprocating ,4570, AIG 
 N712j , Airplane , Boeing , 737-200 ,  ,  , Reciprocating ,1369, 58N 
 N58MB , Airplane , Piper , PA-32R ,  ,  , Reciprocating ,2899, T89 
 N81800 , Airplane , BEECH , E18S , No ,2, Reciprocating ,2400, 9A3 
 N232PM , Airplane , CESSNA , C208B , No ,1, Turbo Prop ,6499, 3VA3 
 N880UP , Airplane , CESSNA ,340, No ,2, Reciprocating ,5200, KCMH 
 N42KK , Airplane , BEECH , A100 , No ,2, Turbo Prop ,3600, TDF 
 N4635F , Airplane , Arrow Falcon Exporters , OH-58+ , No ,1, Turbo Shaft ,1697, IDL 
 N289DT , Airplane , Piper , PA-18-135 , No ,1, Reciprocating ,11574, KTTD 
 N634WB , Airplane , Agusta , A119 , No ,1, Turbo Shaft ,1750, CUB 
 N4091H , Airplane , Beech , J35 , No ,1, Reciprocating ,2649, TISX 
 N5733W , Airplane , Kaman , K1200 K-Max , No ,  , Reciprocating ,2550, HMT 
 N5912Q , Airplane , Vans Aircraft , RV-7A , Yes ,1, Reciprocating ,1294, KUOX 
 N32984 , Airplane , Cessna , 208B , No ,  , Reciprocating ,2899, N57 
 N2161Y , Airplane , Cessna ,172, No ,1, Reciprocating ,12345, LUL 
 N4153M , Airplane , Piper , PA-18-150 , No ,1, Reciprocating ,6499, H35 
 N309PA , Airplane , ROBINSON HELICOPTER , R44 , No ,1, Reciprocating ,5399, KFFO 
 N923PA , Airplane , Burkhart Grob , G 103 Twin II , No ,0, Reciprocating ,4570, HFD 
 N64994 , Airplane ," Gluff, Alan ", Zenair 200 , Yes ,1, Reciprocating ,3999, 5V4 
 N46361 , Airplane , Cessna ,140, No ,1, Reciprocating ,8750, AFP 
 N77LU , Airplane , Learjet , 35A , No ,  , Reciprocating ,1455, KDTO 
 N2736P , Airplane , Piper , PA-31-350 , No ,2, Reciprocating ,8000, 78OR 
 N800CC , Airplane , Blondin , 601HDS , Yes ,1, Reciprocating ,3198, M33 
 N556CP , Airplane , Pipistrel , Sinus 912 , No ,1, Reciprocating ,3600, U42 
 N185MH , Airplane , CESSNA , 172I , No ,1, Reciprocating ,5299, CPK 
 N919UW , Airplane , Robinson , R22 Beta , No ,1, Reciprocating ,2899, DWU 
 N21101 , Airplane , Bellanca , 7GCBC , No ,1, Reciprocating ,3600, IDI 
 N717SB , Airplane , Smith Miniplane , DSA-1 , Yes ,1, Reciprocating ,6999, 6S8 
 N8251M , Airplane , Aeronca , 7AC , No ,1, Reciprocating ,1851, FKN 
 N4366R , Airplane , Interplane , XJ , No ,1, Reciprocating ,3417, HOU 
 N27175 , Airplane , Douglas , DC-8-73F , No ,4, Turbo Fan ,5996, SCK 
 N697MC , Airplane , Kelly , F1D , Yes ,1, Reciprocating ,3600, BFL 
 N5050B , Airplane , Cessna , TP206A , No ,1, Reciprocating ,10500, MGG 
 N8155C , Airplane , Daniel R. Lloyd , Trish's Ride Home , Yes ,1, Reciprocating ,3600, KVTA 
 N2099K , Airplane ," WRB Associates, LLC. ", Zodiac 601 XL , No ,1, Reciprocating ,1900, ALO 
 N3971X , Airplane , Mooney , M20K , No ,1, Reciprocating ,15000, MU02 
 N36LB , Airplane , Piper , PA-28-151 , No ,1, Reciprocating ,1455, 83J 
 N5181A , Airplane , Mooney , M20E , No ,1, Reciprocating ,3203, 60R 
 N16SF , Airplane , Ayres , S2-R , No ,1, Turbo Prop ,8750, PPA 
 N702BW , Airplane , Robinson , R-44 , No ,  , Reciprocating ,4199, TKI 
 N412KK , Airplane , Dye , Rans S-12 Airaile , Yes ,1, Reciprocating ,1455, TEB 
 N195LS , Airplane , Fokker , F27 MARK 200 , No ,  , Reciprocating ,1455, STL 
 N6791J , Airplane , Piper , PA-18-150 , No ,1, Reciprocating ,1455, L25 
 N94320 , Airplane , Piper , PA-28-181 , No ,1, Reciprocating ,36817, COI 
 N744RG , Airplane , Piper , PA-28-181 , No ,1, Reciprocating ,1697, P19 
 N1422E , Airplane , Cessna ,152, No ,1, Reciprocating ,3399, 9S9 
 N5859L , Airplane , Bagnall Harold E , Kitfox Lite 2 , Yes ,1, Reciprocating ,4570, FD77 
 N7188S , Airplane , Cessna , 172R , No ,1, Reciprocating ,3123, TYR 
 N1602A , Airplane , Piper , PA-22-150 , No ,1, Reciprocating ,4629,0.00E+00
 N327ND , Airplane , Raytheon Corporate Jets , Hawker 800XP , No ,2, Turbo Fan ,3417, W27 
 N3236P , Airplane , McDonnell Douglas Helicopter , 369E , No ,1, Turbo Shaft ,4750, BMI 
 N52730 , Airplane , Robinson , R-22 , No ,1, Reciprocating ,1697, TSO 
 N61AC , Airplane , BOEING , 757-225 , No ,2, Turbo Fan ,12500, BNA 
 N43450 , Airplane , Cessna , 172S , No ,1, Reciprocating ,3968, TN64 
 N4672M , Airplane , Piper , 601P , No ,2, Reciprocating ,5299, BTY 
 N80997 , Airplane , Cessna , T210K , No ,1, Reciprocating ,1697, S07 
 N223Z , Airplane , Cessna , 172M , No ,1, Reciprocating ,3968, MMK 
 N6628N , Airplane , Cessna ,172, No ,  , Reciprocating ,1455, KFXE 
 N757DP , Airplane , Grumman American , AA-5A , No ,1, Reciprocating ,3968, EVB 
 N1UU , Airplane , Boeing , 737-800 , No ,  , Reciprocating ,3968, GWS 
 N5104K , Airplane , Vans Aircraft , RV4 , Yes ,  , Reciprocating ,3968, KLG 
 N5323D , Airplane , Robinson , R-22B , No ,  , Reciprocating ,3968, 0Q3 
 N172GH , Airplane , Cessna ,650, No ,2, Turbo Fan ,4570, 83FL 
 N331NW , Airplane , Beech , F35 , No ,1, Reciprocating ,1455, I58 
 N780SR , Airplane , PIPER , PA-28-181 , No ,1, Reciprocating ,3399, L65 
 N6157G , Airplane , Luscombe , 8A , No ,1, Reciprocating ,2649, CHA 
 N345TV , Airplane , PIPER , PA-28R-200 , No ,1, Reciprocating ,3600, 29G 
 N1431S , Airplane , Schempp-Hirth , Ventus B/16.6 , No ,0, Reciprocating ,2899, RYY 
 N3246H , Airplane , Cessna ,172, No ,1, Reciprocating ,3800, BDR 
 N1437S , Airplane , Beech , A36 , No ,1, Reciprocating ,4570, FLG 
 N48862 , Airplane , Piper , PA-46 , No ,  , Reciprocating ,3399, SPB 
 N51698 , Airplane ," Veltman, Robert ", CH701 , Yes ,1, Reciprocating ,3968, 8NC9 
 N901RC , Airplane , Bell , 206L-1 , No ,1, Turbo Shaft ,3968, F05 
 N92737 , Airplane , Ploof Progressive Aerodyne's , Searey , No ,1, Reciprocating ,3399, 1G3 
 N92HS , Airplane , Piper , PA-28-140 , No ,1, Reciprocating ,3399, T74 
 N8777Q , Airplane , North Wing , Mustang II 17.5 , No ,1, Reciprocating ,3968, CPM 
 N978TL , Airplane , Ercoupe , 415-C , No ,1, Reciprocating ,3399, GA35 
 N215MD , Airplane , Robinson , R-44 , No ,1, Reciprocating ,3968, 41F 
 N73223 , Airplane , Cessna , 172N , No ,1, Reciprocating ,1294, OQN 
 N31MC , Airplane , Grumman American , AA-5 , No ,1, Reciprocating ,3201, 82CL 
 N785CP , Airplane , Robinson , R22 Beta , No ,1, Reciprocating ,1294, OAK 
 N17888 , Airplane , Piper , PA-18 , No ,1, Reciprocating ,1455, 00E 
 N7408G , Airplane , PIPER , PA-44-180 , No ,2, Reciprocating ,2649, MMGL 
 N407LL , Airplane , Piper , PA-18 , No ,1, Reciprocating ,4299, VDF 
 N5644N , Airplane , Taylorcraft , DCO-65 , No ,1, Reciprocating ,2550, 38D 
 N475TW , Airplane , Catchot Angus , Kitfox IV , Yes ,1, Reciprocating ,9920, 6B6 
 N65BT , Airplane , Cessna ,182, No ,  , Reciprocating ,3600, KLVN 
 N6370U , Airplane , Beech , A36 , No ,  , Reciprocating ,5299, S80 
 N628RV , Airplane , Piper , PA-32R-301 , No ,1, Reciprocating ,2949, KBVS 
 N9733P , Airplane , Cessna ,152, No ,1, Reciprocating ,3399, APA 
 N1261X , Airplane , Globe , GC-1B , No ,1, Reciprocating ,3968, KMRN 
 N95HS , Airplane , Robinson , R-44 II , No ,1, Reciprocating ,3968, HLN 
 N45720 , Airplane , Taylorcraft , F-19 , No ,1, Reciprocating ,1455, ABE 
 N8635Y , Airplane , Cessna ,152, No ,1, Reciprocating ,2200, 00AL 
 N368CA , Airplane , Blair , Skybolt , Yes ,1, Reciprocating ,3600, L80 
 N65591 , Airplane , Ryan , Navion , No ,1, Reciprocating ,2649, EET 
 N9914F , Airplane , Cessna , 172N , No ,1, Reciprocating ,3597, PVF 
