FlightNumber,PurposeofFlight,From,To,DepartureTime,ArrivelTime,FlyingHours,Date,PilotID,AircraftID,AccidentNumber
20071219X01979 ,  , United States ,Armenia,5:30 PM,8:35 PM,3h 5m, 12/16/2007 ,524389, N24DN , NYC08WA329 
20071231X02012 ,  , United States ,Armenia,6:00 PM,9:35 PM,3h 35m, 12/16/2007 ,499809, N414HP , SEA08LA048 
20071217X01939 ,  , Egypt ,Armenia,1:00 PM,5:20 PM,4h 20m, 12/16/2007 ,497025, B-2477 , CHI08LA051 
20071221X01982 , Personal , United States ,Armenia,7:20 AM,11:40 AM,4h 20m, 12/15/2007 ,502704, N220UA , DCA08FA018 
20071226X01986 , Personal , United States ,Armenia,4:00 PM,8:35 PM,4h 35m, 12/15/2007 ,495539, N567SP , DCA08WA020 
20080102X00001 ,  , United States ,Australia,8:30 AM,1:35 PM,5h 5m, 12/15/2007 ,495757, N184JB , DEN08LA041 
20071221X01983 , Personal , United States ,Australia,7:20 AM,12:40 PM,5h 20m, 12/14/2007 ,501176, N801VC , DEN08LA040 
20080122X00083 , Public Aircraft - State , United States ,Australia,7:00 PM,7:35 AM,12h 35m, 12/14/2007 ,527340, N777EV , DFW08IA045 
20080131X00126 , Positioning , United States ,Australia,9:20 AM,3:25 PM,6h 5m, 12/14/2007 ,515605, N961PH , CHI08LA052 
20080213X00187 ,  , United States ,Australia,8:15 AM,3:00 PM,6h 45m, 12/14/2007 ,502359, N310RV , LAX08IA042 
20071231X02013 , Instructional , United States ,Australia,3:00 PM,5:30 PM,2h 30m, 12/14/2007 ,492142, N112ED , NYC08LA062A 
20071226X01987 , Personal , United States ,Australia,7:00 PM,9:35 PM,2h 35m, 12/13/2007 ,514355, N199JW , CHI08FA050 
20071219X01976 , Personal , United States ,Australia,4:00 PM,7:30 PM,3h 30m, 12/13/2007 ,491442, N7188J , SEA08CA047 
20080123X00094 ,  , Peru ,Australia,10:00 AM,1:35 PM,3h 35m, 12/13/2007 ,516237, N50DS , NYC08LA062B 
20080215X00201 , Personal , United States ,Australia,6:30 AM,10:05 AM,3h 35m, 12/13/2007 ,526710, N364KW , MIA08LA029 
20071228X02003 , Personal , United States ,Australia,5:00 PM,8:35 PM,3h 35m, 12/12/2007 ,506286, N2699G , NYC08CA072 
20080110X00037 , Personal , United States ,Australia,5:30 PM,9:35 PM,4h 5m, 12/12/2007 ,510707, N925TT , NYC08CA063 
20080123X00097 , Personal , United States ,Austria,6:30 AM,11:05 AM,4h 35m, 12/12/2007 ,523305, N3699S , NYC08WA064 
20071227X01998 , Personal , St Kitts And Nevis ,Austria,11:50 AM,5:20 PM,5h 30m, 12/12/2007 ,515839, N5481D , NYC08LA061 
20080109X00033 , Personal , United States ,Austria,8:00 AM,1:35 PM,5h 35m, 12/11/2007 ,527074, N24478 , NYC08CA073 
20080117X00064 , Personal , United States ,Austria,3:00 PM,8:35 PM,5h 35m, 12/11/2007 ,521945, N5431C , NYC08LA059 
20071219X01975 , Executive/Corporate , United States ,Austria,10:40 AM,5:20 PM,6h 40m, 12/10/2007 ,488842, N2151J , NYC08LA060 
20080115X00053 , Personal , United States ,Austria,8:20 AM,5:20 PM,9h 0m, 12/09/2007 ,505321, N173DA , NYC08WA076 
20071219X01978 , Unknown , Ukraine ,Austria,7:00 AM,8:10 PM,13h 10m, 12/09/2007 ,498063, N43682 , SEA08FA045 
20080304X00259 , Personal , United States ,Austria,2:25 PM,4:15 PM,1h 50m, 12/09/2007 ,517379, N9048T , CHI08CA048 
20071227X01996 , Personal , Venezuela ,Austria,4:35 PM,6:25 PM,1h 50m, 12/09/2007 ,499707, N5921D , SEA08FA042 
20080109X00034 , Instructional , United States ,Austria,7:00 AM,5:00 PM,10h 0m, 12/08/2007 ,494493, N766CC , MIA08CA028 
20080229X00250 , Personal , United States ,Austria,8:00 AM,7:05 PM,11h 5m, 12/08/2007 ,498379, C-GPIA , NYC08WA057 
20071227X02001 , Personal , United States ,Austria,6:00 AM,7:05 PM,13h 5m, 12/08/2007 ,499186, N2643C , NYC08FA056 
20071218X01970 , Instructional , United States ,Austria,4:35 PM,6:25 PM,1h 50m, 12/08/2007 ,489375, N4388P , MIA08WA060 
20080104X00020 , Personal , United States ,Azerbaijan,6:00 AM,12:40 PM,6h 40m, 12/08/2007 ,510898, N130SX , NYC08FA054B 
20080129X00121 , Positioning , United States ,Azerbaijan,11:00 AM,7:05 PM,8h 5m, 12/08/2007 ,507393, N6024M , MIA08FA027 
20080124X00100 , Personal , United States ,Azerbaijan,6:00 AM,2:55 PM,8h 55m, 12/08/2007 ,501972, N700H , CHI08CA047 
20071226X01992 , Business , United States ,Azerbaijan,9:00 AM,6:05 PM,9h 5m, 12/07/2007 ,507153, N44528 , CHI08CA049 
20071229X02007 , Instructional , United States ,Azerbaijan,9:00 AM,7:05 PM,10h 5m, 12/07/2007 ,500781, N28MG , NYC08CA058 
20080123X00099 , Personal , United States ,Azerbaijan,9:00 AM,8:10 PM,11h 10m, 12/06/2007 ,504506, N43274 , SEA08CA044 
20071211X01926 , Aerial Application , United States ,Azerbaijan,6:00 AM,6:05 PM,12h 5m, 12/06/2007 ,486972, N75068 , NYC08CA055 
20071219X01977 , Personal , United States ,Azerbaijan,6:00 AM,8:10 PM,14h 10m, 12/06/2007 ,499221, N46969 , NYC08FA054A 
20080214X00189 , Personal , United States ,Azerbaijan,10:00 AM,2:55 PM,4h 55m, 12/06/2007 ,504403, N805EH , LAX08CA036 
20080116X00055 , Personal , Mexico ,Azerbaijan,11:00 AM,6:05 PM,7h 5m, 12/06/2007 ,521826, N70035 , MIA08FA026 
20080118X00077 ,  , United States ,Azerbaijan,7:00 AM,2:55 PM,7h 55m, 12/05/2007 ,527587, N105PP , SEA08FA046 
20080219X00207 , Business , United States ,Azerbaijan,11:00 AM,8:10 PM,9h 10m, 12/05/2007 ,500136, N29RV , MIA08CA025 
20080108X00029 , Personal , United States ,Bahrain,7:00 AM,6:05 PM,11h 5m, 12/05/2007 ,524612, N141LG , LAX08CA034 
20071212X01932 , Positioning , United States ,Bahrain,7:00 AM,7:05 PM,12h 5m, 12/05/2007 ,511094, N551GF , LAX08CA033 
20071227X01997 , Instructional , United States ,Bahrain,8:00 AM,8:10 PM,12h 10m, 12/04/2007 ,527537, N79GP , LAX08CA035 
20080122X00089 , Instructional , United States ,Bahrain,7:00 AM,8:10 PM,13h 10m, 12/04/2007 ,506474, N259ER , DFW08WA043 
20071219X01973 , Personal , United States ,Bahrain,8:00 PM,9:35 AM,13h 35m, 12/04/2007 ,527579, N169LC , CHI08FA045 
20071211X01927 , Personal , United States ,Bahrain,4:00 PM,7:05 PM,3h 5m, 12/03/2007 ,507057, N874SR , NYC08FA053 
20071228X02002 ,  , United States ,Bahrain,2:00 PM,7:05 PM,5h 5m, 12/03/2007 ,517756, N95CH , CHI08CA020 
20071227X02000 ,  , United States ,Bahrain,2:00 PM,8:10 PM,6h 10m, 12/02/2007 ,494458, N6135M , SEA08LA043 
20071212X01931 , Personal , United States ,Bahrain,10:00 AM,5:00 PM,7h 0m, 12/02/2007 ,495453, N1181Y , LAX08IA032 
20071213X01937 , Personal , United States ,Bahrain,12:00 PM,7:05 PM,7h 5m, 12/01/2007 ,494503, N8770M , NYC08LA052 
20080124X00102 , Instructional , United States ,Bangladesh,1:00 PM,8:30 PM,7h 30m, 12/01/2007 ,514974, N7016M , NYC08FA051 
20071206X01909 , Personal , United States ,Bangladesh,12:00 PM,8:10 PM,8h 10m, 12/01/2007 ,512264, N141CD , DFW08CA042 
20071206X01905 ,  , United States ,Bangladesh,8:00 AM,5:00 PM,9h 0m, 12/01/2007 ,492305, N103JT , ANC08FA025 
20081003X17816 ,  , Turkey ,Bangladesh,11:00 AM,8:30 PM,9h 30m, 11/30/2007 ,526006, N201VX , OPS08IA002A 
20080116X00057 , Instructional , United States ,Bangladesh,7:00 AM,5:00 PM,10h 0m, 11/30/2007 ,502500, N64197 , OPS08IA002B 
20071207X01912 , Personal , United States ,Bangladesh,8:00 AM,6:05 PM,10h 5m, 11/29/2007 ,525496, N8965R , SEA08LA041 
20071227X01999 , Personal , United States ,Bangladesh,10:00 AM,8:30 PM,10h 30m, 11/29/2007 ,513553, N148ND , MIA08LA023 
20071212X01930 , Personal , United States ,Bangladesh,6:00 AM,5:00 PM,11h 0m, 11/29/2007 ,520830, N6555D , NYC08LA049 
20080111X00040 , Ferry , Germany ,Bangladesh,8:00 AM,7:05 PM,11h 5m, 11/28/2007 ,499873, N5134N , ANC08LA023 
20080116X00061 , Personal , United States ,Bangladesh,8:30 AM,8:30 PM,12h 0m, 11/28/2007 ,520196, N222LF , MIA08LA024 
20071231X02009 , Personal , United States ,Bangladesh,8:00 AM,8:30 PM,12h 30m, 11/28/2007 ,514768, N3NG , NYC08LA050 
20071212X01933 , Personal , United States ,Bangladesh,7:30 AM,8:30 PM,13h 0m, 11/28/2007 ,508011, N2159M , DCA08RA015 
20071204X01896 , Personal , United States ,Bangladesh,7:00 AM,8:30 PM,13h 30m, 11/28/2007 ,518568, N74SR , DFW08CA044 
20080109X00035 , Instructional , United States ,Bangladesh,6:30 AM,8:30 PM,14h 0m, 11/28/2007 ,515169, N461TC , ANC08CA024 
20071207X01913 , Personal , United States ,Belarus,5:00 PM,8:10 PM,3h 10m, 11/28/2007 ,508157, N3364G , SEA08CA049 
20071211X01928 , Aerial Observation , United States ,Belarus,9:00 AM,12:40 PM,3h 40m, 11/28/2007 ,504702, N482SR , CHI08LA046 
20071212X01936 , Positioning , United States ,Belarus,4:00 PM,8:10 PM,4h 10m, 11/28/2007 ,486160, N1055L , DEN08WA037 
20080128X00109 , Personal , United States ,Belarus,9:00 AM,2:55 PM,5h 55m, 11/27/2007 ,526399, N3744F , NYC08CA048 
20071203X01887 , Personal , United States ,Belarus,8:30 AM,4:15 PM,7h 45m, 11/27/2007 ,515113, N4948P , MIA08FA021 
20071203X01889 , Personal , United States ,Belarus,8:00 AM,4:15 PM,8h 15m, 11/27/2007 ,506810, N3250B , DFW08CA041 
20071205X01904 , Instructional , United States ,Belarus,12:00 PM,8:30 PM,8h 30m, 11/26/2007 ,486801, N4191D , ANC08CA022 
20071130X01879 , Unknown , Russia ,Belarus,7:30 AM,4:15 PM,8h 45m, 11/26/2007 ,494361, N442FA , MIA08CA022 
20071129X01876 , Positioning , United States ,Belarus,7:00 AM,4:15 PM,9h 15m, 11/26/2007 ,494894, N8301M , DFW08FA040 
20080102X00005 , Personal , United States ,Belarus,6:30 AM,4:15 PM,9h 45m, 11/25/2007 ,491496, N104EA , DEN08FA036 
20080114X00043 , Personal , United States ,Belarus,8:30 PM,9:35 AM,13h 5m, 11/25/2007 ,491570, N3459T , DEN08CA035 
20071227X01995 ,  , United States ,Belarus,3:00 PM,6:05 PM,3h 5m, 11/25/2007 ,502887, N1611B , DFW08FA038 
20071221X01985 , Personal , United States ,Belarus,6:30 AM,9:50 AM,3h 20m, 11/25/2007 ,516051, N172MG , CHI08LA041 
20071130X01880 , Personal , United States ,Belarus,6:00 AM,9:35 AM,3h 35m, 11/24/2007 ,500378, N123SD , DEN08CA034 
20080214X00190 , Instructional , United States ,Belgium,11:00 AM,2:55 PM,3h 55m, 11/24/2007 ,502656, N108GD , NYC08CA047 
20071204X01893 , Personal , United States ,Belgium,4:30 PM,8:30 PM,4h 0m, 11/24/2007 ,503175, N61480 , NYC08WA045 
20071209X01917 , Personal , United States ,Belgium,3:00 PM,7:05 PM,4h 5m, 11/23/2007 ,518698, N1831L , NYC08FA046 
20071210X01921 , Aerial Application , United States ,Belgium,3:00 PM,8:10 PM,5h 10m, 11/23/2007 ,502268, N6147B , CHI08FA039 
20071218X01971 , Personal , United States ,Belgium,7:00 AM,12:40 PM,5h 40m, 11/22/2007 ,501565, N707BS , MIA08CA019 
20080210X00165 ,  , France ,Belgium,7:00 AM,9:50 AM,2h 50m, 11/22/2007 ,506794, N252DD , DEN08IA033 
20071126X01838 , Personal , United States ,Belgium,2:00 PM,5:00 PM,3h 0m, 11/21/2007 ,509482, N463SH , NYC08LA044 
20071130X01886 , Personal , United States ,Belgium,5:30 PM,8:30 PM,3h 0m, 11/21/2007 ,527379, N2237D , SEA08CA039 
20071130X01883 , Personal , United States ,Belgium,5:00 PM,8:30 PM,3h 30m, 11/21/2007 ,490668, N5803A , LAX08CA031 
20071221X01981 ,  , Indonesia ,Belgium,2:00 PM,6:05 PM,4h 5m, 11/21/2007 ,513569, N170BP , NYC08LA043 
20071209X01916 , Instructional , United States ,Belgium,12:00 PM,4:15 PM,4h 15m, 11/21/2007 ,488789, N3318E , DFW08FA036 
20071203X01890 , Personal , United States ,Belgium,4:00 PM,8:30 PM,4h 30m, 11/21/2007 ,514143, N45137 , SEA08LA038 
20071221X01984 , Personal , United States ,Belgium,8:00 AM,12:40 PM,4h 40m, 11/20/2007 ,505875, N6492E , SEA08FA036 
20071210X01918 , Personal , United States ,Belize,11:00 AM,4:15 PM,5h 15m, 11/20/2007 ,515850, N676SW , ENG08RA005 
20071130X01884 , Instructional , United States ,Belize,3:00 PM,8:30 PM,5h 30m, 11/20/2007 ,496557, N4448Y , NYC08CA042 
20071206X01908 , Aerial Application , United States ,Benin,11:00 AM,5:00 PM,6h 0m, 11/19/2007 ,492074, N191PS , SEA08CA037 
20071130X01882 , Personal , United States ,Benin,12:00 PM,6:05 PM,6h 5m, 11/18/2007 ,500760, N987M , NYC08FA041 
20071129X01870 , Instructional , United States ,Benin,7:20 AM,8:25 AM,1h 5m, 11/17/2007 ,500295, N4396T , DCA08WA016 
20071210X01920 , Personal , United States ,Benin,10:30 AM,11:35 AM,1h 5m, 11/17/2007 ,516072, N810MH , SEA08LA035 
20071226X01989 , Personal , Australia ,Benin,2:10 PM,3:15 PM,1h 5m, 11/17/2007 ,516796, N617EV , SEA08LA040 
20071207X01914 , Instructional , United States ,Benin,6:45 PM,7:50 PM,1h 5m, 11/17/2007 ,502742, N55307 , SEA08LA031A 
20080116X00060 ,  , United States ,Benin,6:40 AM,7:45 AM,1h 5m, 11/17/2007 ,514722, N444CB , SEA08LA031B 
20071226X01991 ,  , France ,Benin,1:00 PM,2:05 PM,1h 5m, 11/16/2007 ,508757, N947DM , NYC08FA039 
20080128X00113 , Personal , United States ,Benin,11:50 AM,12:55 PM,1h 5m, 11/16/2007 ,491396, N435M , SEA08CA032 
20080512X00651 , Personal , United States ,Benin,8:25 AM,9:30 AM,1h 5m, 11/16/2007 ,493719, N274ER , SEA08CA034 
20080411X00459 , Personal , United States ,Benin,8:25 AM,9:30 AM,1h 5m, 11/16/2007 ,523548, N9610W , MIA08CA018 
20071231X02010 , Instructional , United States ,Bhutan,5:50 PM,6:55 PM,1h 5m, 11/16/2007 ,510191, N439MA , ANC08CA020 
20081219X65252 ,  , United States ,Bhutan,7:15 PM,8:20 PM,1h 5m, 11/15/2007 ,508715, N46110 , SEA08CA030 
20071119X01813 ,  , Japan ,Bhutan,4:30 PM,5:35 PM,1h 5m, 11/15/2007 ,518189, N120AB , DFW08CA032 
20071120X01818 , Instructional , United States ,Bolivia,9:50 AM,10:55 AM,1h 5m, 11/15/2007 ,517020, N9198C , LAX08WA131 
20071121X01828 , Instructional , United States ,Bolivia,10:00 AM,7:50 PM,9h 50m, 11/15/2007 ,491398, N84859 , NYC08CA037 
20080122X00080 ,  , United States ,Bolivia,9:00 PM,9:35 AM,12h 35m, 11/14/2007 ,503422, N3656R , ENG08IA002 
20071226X01988 , Personal , United States ,Bolivia,8:30 AM,2:40 PM,6h 10m, 11/14/2007 ,495892, N31495 , ENG08RA003 
20080311X00295 , Personal , United States ,Bolivia,6:30 AM,2:40 PM,8h 10m, 11/14/2007 ,511766, N5248E , CHI08LA037 
20071119X01807 , Instructional , United States ,Bolivia,4:00 PM,7:50 PM,3h 50m, 11/14/2007 ,486168, N38PC , DEN08LA032 
20071119X01812 , Instructional , United States ,Bolivia,6:00 AM,10:25 AM,4h 25m, 11/14/2007 ,507689, N284BA , SEA08LA028 
20071212X01934 , Personal , United States ,Bolivia,8:00 AM,2:40 PM,6h 40m, 11/14/2007 ,520958, None , NYC08CA040 
20071126X01844 , Personal , United States ,Bolivia,6:00 AM,7:50 PM,13h 50m, 11/13/2007 ,505847, N209LS , SEA08CA027 
20071206X01906 , Personal , United States ,Bolivia,6:30 AM,5:00 PM,10h 30m, 11/13/2007 ,505973, N9592U , ANC08WA021 
20071206X01907 , Personal , United States ,Bolivia,6:30 AM,8:10 PM,13h 40m, 11/12/2007 ,505227, N7716K , DEN08LA031 
20080304X00262 , Positioning , United States ,Bolivia,9:00 AM,7:50 PM,10h 50m, 11/12/2007 ,492819, N41535 , DFW08FA031 
20080331X00401 , Personal , United States ,Bolivia,7:30 AM,2:40 PM,7h 10m, 11/12/2007 ,506692, N131AB , CHI08LA044 
20071204X01894 , Personal , United States ,Bolivia,7:00 AM,2:40 PM,7h 40m, 11/11/2007 ,504989, N3038P , CHI08LA040 
20080515X00683 , Personal , United States ,Bolivia,8:30 AM,5:00 PM,8h 30m, 11/11/2007 ,516143, N2PR , SEA08LA033 
20080415X00480 , Personal , United States ,Bosnia and Herzegovina,8:30 AM,8:10 PM,11h 40m, 11/11/2007 ,515948, N9192X , SEA08LA029 
20071121X01833 , Personal , United States ,Bosnia and Herzegovina,3:00 PM,7:50 PM,4h 50m, 11/11/2007 ,487978, N2813Z , MIA08CA017 
20071210X01919 , Personal , United States ,Bosnia and Herzegovina,11:00 AM,7:50 PM,8h 50m, 11/11/2007 ,505928, N42RF , ANC08CA019 
20071217X01946 , Business , United States ,Bosnia and Herzegovina,8:00 AM,7:50 PM,11h 50m, 11/11/2007 ,496684, N11764 , DEN08LA038 
20080104X00021 , Personal , United States ,Bosnia and Herzegovina,7:00 AM,7:50 PM,12h 50m, 11/11/2007 ,489556, N9151R , NYC08CA036 
20071228X02004 , Personal , United States ,Bosnia and Herzegovina,10:00 AM,5:00 PM,7h 0m, 11/10/2007 ,520404, N6895Z , NYC08CA035 
20071228X02005 , Personal , United States ,Bosnia and Herzegovina,1:00 PM,8:10 PM,7h 10m, 11/10/2007 ,495584, N555BH , SEA08LA025 
20071121X01831 , Banner Tow , United States ,Bosnia and Herzegovina,8:00 AM,5:00 PM,9h 0m, 11/10/2007 ,489466, N4830B , SEA08CA026 
20071127X01856 , Positioning , United States ,Bosnia and Herzegovina,11:00 AM,8:10 PM,9h 10m, 11/10/2007 ,499767, N881CP , LAX08CA030 
20080206X00143 , Personal , United States ,Bosnia and Herzegovina,7:30 AM,5:00 PM,9h 30m, 11/10/2007 ,500571, N381MC , CHI08CA042 
20080220X00217 , Aerial Application , United States ,Bosnia and Herzegovina,10:00 AM,8:10 PM,10h 10m, 11/09/2007 ,523392, N3627B , NYC08CA032 
20071121X01826 , Personal , United States ,Bosnia and Herzegovina,8:00 AM,8:10 PM,12h 10m, 11/09/2007 ,514532, N18R , NYC08CA031 
20080115X00050 , Public Aircraft - Federal , Unknown ,Bosnia and Herzegovina,7:00 AM,5:00 PM,10h 0m, 11/09/2007 ,490593, N701SE , SEA08LA024 
20071206X01910 , Instructional , United States ,Botswana,7:30 AM,8:10 PM,12h 40m, 11/09/2007 ,526449, N5049Q , DFW08LA030 
20080321X00360 , Personal , United States ,Botswana,7:00 AM,8:10 PM,13h 10m, 11/09/2007 ,513177, N30GC , SEA08LA066 
20080307X00285 , Personal , United States ,Botswana,2:00 PM,7:50 PM,5h 50m, 11/09/2007 ,504742, N831SD , DFW08LA029 
