AccidentNumber,Date,WeatherCondition,InjurySeverity,AircraftDamage,LocationID
 SEA08CA055 , 12/22/2007 , VMC , Non-Fatal , Substantial ,79659
 MIA08CA040 , 12/22/2007 , IMC , Non-Fatal , Substantial ,110293
 DEN08RA050 , 12/22/2007 , VMC , Non-Fatal , Substantial ,48014
 DEN08CA046 , 12/21/2007 , VMC , Non-Fatal , Substantial ,96517
 DFW08CA048 , 12/21/2007 , VMC , Non-Fatal , Substantial ,64685
 DFW08LA134 , 12/21/2007 , VMC , Fatal(2) , Destroyed ,64138
 NYC08CA066 , 12/20/2007 , VMC , Non-Fatal , Substantial ,60373
 CHI08FA054 , 12/20/2007 , IMC , Fatal(1) , Destroyed ,14849
 DFW08LA046 , 12/20/2007 , VMC , Non-Fatal , Substantial ,28319
 ANC08TA028 , 12/20/2007 , VMC , Non-Fatal , Substantial ,103012
 LAX08CA040 , 12/20/2007 , VMC , Non-Fatal , Substantial ,124114
 DFW08CA047 , 12/20/2007 , VMC , Non-Fatal , Substantial ,107794
 MIA08WA033 , 12/20/2007 , VMC , Non-Fatal , Substantial ,81983
 CHI08FA053 , 12/20/2007 , IMC , Fatal(3) , Destroyed ,53164
 MIA08CA031 , 12/19/2007 , VMC , Non-Fatal , Substantial ,82042
 NYC08WA065 , 12/19/2007 , VMC , Fatal(1) , Substantial ,72127
 MIA08CA046 , 12/19/2007 , VMC , Non-Fatal , Substantial ,113046
 LAX08CA039 , 12/18/2007 , VMC , Non-Fatal , Substantial ,1050
 MIA08CA030 , 12/18/2007 , VMC , Non-Fatal , Substantial ,54886
 ANC08LA027 , 12/18/2007 , VMC , Non-Fatal , Substantial ,125918
 DCA08IA019 , 12/17/2007 , VMC , Incident , Minor ,7467
 ENG08WA006 , 12/17/2007 , VMC , Incident ,  ,78972
 DEN08WA042 , 12/17/2007 , IMC , Fatal(1) , Destroyed ,126625
 ANC08IA026 , 12/17/2007 , VMC , Incident ,  ,114501
 NYC08WA329 , 12/17/2007 , VMC , Non-Fatal , Substantial ,114813
 SEA08LA048 , 12/16/2007 , VMC , Non-Fatal , Substantial ,32167
 CHI08LA051 , 12/16/2007 , VMC , Non-Fatal , Substantial ,68001
 DCA08FA018 , 12/16/2007 , IMC , Non-Fatal , Substantial ,117052
 DCA08WA020 , 12/16/2007 , VMC , Incident , Minor ,8661
 DEN08LA041 , 12/15/2007 , VMC , Non-Fatal , Destroyed ,57165
 DEN08LA040 , 12/15/2007 , VMC , Fatal(1) , Destroyed ,78610
 DFW08IA045 , 12/15/2007 , VMC , Incident ,  ,51058
 CHI08LA052 , 12/14/2007 , VMC , Non-Fatal , Destroyed ,92027
 LAX08IA042 , 12/14/2007 , VMC , Incident ,  ,115534
 NYC08LA062A , 12/14/2007 , IMC , Non-Fatal , Substantial ,9261
 CHI08FA050 , 12/14/2007 , VMC , Non-Fatal , Minor ,61033
 SEA08CA047 , 12/14/2007 , VMC , Non-Fatal , Substantial ,75930
 NYC08LA062B , 12/14/2007 , IMC , Non-Fatal , Substantial ,112142
 MIA08LA029 , 12/13/2007 , VMC , Non-Fatal , Substantial ,24518
 NYC08CA072 , 12/13/2007 , VMC , Non-Fatal , Substantial ,112524
 NYC08CA063 , 12/13/2007 , VMC , Non-Fatal , Substantial ,101639
 NYC08WA064 , 12/13/2007 , VMC , Non-Fatal , Destroyed ,85018
 NYC08LA061 , 12/13/2007 , VMC , Non-Fatal , Substantial ,106922
 NYC08CA073 , 12/12/2007 , VMC , Non-Fatal , Substantial ,32564
 NYC08LA059 , 12/12/2007 , VMC , Fatal(1) , Substantial ,92242
 NYC08LA060 , 12/12/2007 , VMC , Non-Fatal , Substantial ,73302
 NYC08WA076 , 12/12/2007 , VMC , Non-Fatal , Substantial ,42267
 SEA08FA045 , 12/11/2007 , VMC , Fatal(3) , Destroyed ,121358
 CHI08CA048 , 12/11/2007 , IMC , Non-Fatal , Substantial ,65655
 SEA08FA042 , 12/10/2007 , IMC , Fatal(2) , Destroyed ,88062
 MIA08CA028 , 12/09/2007 , VMC , Non-Fatal , Destroyed ,91330
 NYC08WA057 , 12/09/2007 , VMC , Fatal(5) , Substantial ,22031
 NYC08FA056 , 12/09/2007 , IMC , Fatal(1) , Substantial ,27921
 MIA08WA060 , 12/09/2007 , VMC , Fatal(2) , Destroyed ,51947
 NYC08FA054B , 12/08/2007 , VMC , Fatal(2) , Destroyed ,40017
 MIA08FA027 , 12/08/2007 , IMC , Fatal(2) , Substantial ,76392
 CHI08CA047 , 12/08/2007 , VMC , Non-Fatal , Substantial ,118486
 CHI08CA049 , 12/08/2007 , VMC , Non-Fatal , Substantial ,6012
 NYC08CA058 , 12/08/2007 , VMC , Non-Fatal , Substantial ,30183
 SEA08CA044 , 12/08/2007 , VMC , Non-Fatal , Substantial ,41652
 NYC08CA055 , 12/08/2007 , VMC , Non-Fatal , Substantial ,15138
 NYC08FA054A , 12/08/2007 , VMC , Fatal(2) , Destroyed ,123589
 LAX08CA036 , 12/07/2007 , IMC , Non-Fatal , Substantial ,114534
 MIA08FA026 , 12/07/2007 , VMC , Fatal(2) , Destroyed ,93076
 SEA08FA046 , 12/06/2007 , VMC , Fatal(1) , Substantial ,96963
 MIA08CA025 , 12/06/2007 , VMC , Non-Fatal , Substantial ,85494
 LAX08CA034 , 12/06/2007 , VMC , Non-Fatal , Destroyed ,72989
 LAX08CA033 , 12/06/2007 , VMC , Non-Fatal , Substantial ,42357
 LAX08CA035 , 12/06/2007 , VMC , Non-Fatal , Substantial ,23040
 DFW08WA043 , 12/06/2007 , VMC , Fatal(1) , Destroyed ,65420
 CHI08FA045 , 12/05/2007 , IMC , Fatal(2) , Destroyed ,65045
 NYC08FA053 , 12/05/2007 , VMC , Fatal(1) , Substantial ,37373
 CHI08CA020 , 12/05/2007 , VMC , Non-Fatal , Substantial ,44405
 SEA08LA043 , 12/05/2007 , VMC , Non-Fatal , Substantial ,16653
 LAX08IA032 , 12/04/2007 , VMC , Incident , Substantial ,71655
 NYC08LA052 , 12/04/2007 , VMC , Non-Fatal , Substantial ,77591
 NYC08FA051 , 12/04/2007 , VMC , Fatal(1) , Destroyed ,4585
 DFW08CA042 , 12/03/2007 , VMC , Non-Fatal , Substantial ,108347
 ANC08FA025 , 12/03/2007 , IMC , Fatal(4) , Substantial ,23400
 OPS08IA002A , 12/02/2007 , VMC , Incident , Substantial ,31010
 OPS08IA002B , 12/02/2007 , VMC , Incident , Substantial ,57513
 SEA08LA041 , 12/02/2007 , VMC , Non-Fatal , Substantial ,20979
 MIA08LA023 , 12/01/2007 , VMC , Non-Fatal , Substantial ,95841
 NYC08LA049 , 12/01/2007 , VMC , Non-Fatal , Substantial ,114684
 ANC08LA023 , 12/01/2007 , VMC , Non-Fatal , Substantial ,111667
 MIA08LA024 , 12/01/2007 , VMC , Non-Fatal , Destroyed ,20101
 NYC08LA050 , 12/01/2007 , VMC , Non-Fatal , Substantial ,63212
 DCA08RA015 , 11/30/2007 ,  , Fatal(57) , Destroyed ,8256
 DFW08CA044 , 11/30/2007 , VMC , Non-Fatal , Substantial ,56161
 ANC08CA024 , 11/29/2007 , VMC , Non-Fatal , Substantial ,121196
 SEA08CA049 , 11/29/2007 , VMC , Non-Fatal , Substantial ,23788
 CHI08LA046 , 11/29/2007 , VMC , Fatal(1) , Destroyed ,129579
 DEN08WA037 , 11/28/2007 , IMC , Fatal(1) , Substantial ,127516
 NYC08CA048 , 11/28/2007 , VMC , Non-Fatal , Substantial ,18012
 MIA08FA021 , 11/28/2007 , IMC , Fatal(1) , Substantial ,45561
 DFW08CA041 , 11/28/2007 , VMC , Non-Fatal , Substantial ,5228
 ANC08CA022 , 11/28/2007 , IMC , Non-Fatal , Substantial ,18311
 MIA08CA022 , 11/28/2007 , VMC , Non-Fatal , Substantial ,59891
 DFW08FA040 , 11/28/2007 , VMC , Fatal(2) , Substantial ,60651
 DEN08FA036 , 11/28/2007 , VMC , Fatal(1) , Destroyed ,51013
 DEN08CA035 , 11/28/2007 , VMC , Non-Fatal , Substantial ,91746
 DFW08FA038 , 11/27/2007 , VMC , Fatal(2) , Destroyed ,4233
 CHI08LA041 , 11/27/2007 , VMC , Fatal(1) , Substantial ,14187
 DEN08CA034 , 11/27/2007 , VMC , Non-Fatal , Substantial ,19669
 NYC08CA047 , 11/26/2007 , VMC , Non-Fatal , Substantial ,31147
 NYC08WA045 , 11/26/2007 , IMC , Non-Fatal , Destroyed ,128842
 NYC08FA046 , 11/26/2007 , IMC , Fatal(1) , Substantial ,27562
 CHI08FA039 , 11/25/2007 , VMC , Fatal(4) , Destroyed ,775
 MIA08CA019 , 11/25/2007 , VMC , Non-Fatal , Substantial ,14070
 DEN08IA033 , 11/25/2007 , VMC , Incident , Minor ,106007
 NYC08LA044 , 11/25/2007 , VMC , Non-Fatal , Substantial ,116004
 SEA08CA039 , 11/24/2007 , VMC , Non-Fatal , Substantial ,68886
 LAX08CA031 , 11/24/2007 , VMC , Non-Fatal , Substantial ,72413
 NYC08LA043 , 11/24/2007 , VMC , Non-Fatal , Substantial ,73604
 DFW08FA036 , 11/23/2007 , VMC , Fatal(1) , Destroyed ,48415
 SEA08LA038 , 11/23/2007 , VMC , Non-Fatal , Substantial ,105708
 SEA08FA036 , 11/22/2007 , VMC , Fatal(2) , Substantial ,65579
 ENG08RA005 , 11/22/2007 ,  , Incident , Minor ,73058
 NYC08CA042 , 11/21/2007 , VMC , Non-Fatal , Substantial ,65585
 SEA08CA037 , 11/21/2007 , VMC , Non-Fatal , Substantial ,8346
 NYC08FA041 , 11/21/2007 , IMC , Fatal(1) , Substantial ,79678
 DCA08WA016 , 11/21/2007 , VMC , Incident , Minor ,112483
 SEA08LA035 , 11/21/2007 , VMC , Non-Fatal , Substantial ,31698
 SEA08LA040 , 11/21/2007 , VMC , Non-Fatal , Substantial ,74030
 SEA08LA031A , 11/20/2007 , VMC , Non-Fatal , Substantial ,124931
 SEA08LA031B , 11/20/2007 , VMC , Non-Fatal , Substantial ,73924
 NYC08FA039 , 11/20/2007 , IMC , Fatal(1) , Destroyed ,76073
 SEA08CA032 , 11/20/2007 , VMC , Non-Fatal , Substantial ,104623
 SEA08CA034 , 11/19/2007 , VMC , Non-Fatal , Substantial ,58523
 MIA08CA018 , 11/18/2007 , VMC , Non-Fatal , Substantial ,121929
 ANC08CA020 , 11/18/2007 , VMC , Non-Fatal , Substantial ,30704
 SEA08CA030 , 11/17/2007 , VMC , Non-Fatal , Substantial ,58896
 DFW08CA032 , 11/17/2007 , VMC , Non-Fatal , Substantial ,26920
 LAX08WA131 , 11/17/2007 , VMC , Fatal(4) , Destroyed ,13884
 NYC08CA037 , 11/17/2007 , VMC , Non-Fatal , Substantial ,87681
 ENG08IA002 , 11/17/2007 , VMC , Incident , Minor ,81719
 ENG08RA003 , 11/16/2007 , VMC , Incident , Minor ,85554
 CHI08LA037 , 11/16/2007 , VMC , Fatal(2) , Substantial ,12645
 DEN08LA032 , 11/16/2007 , VMC , Non-Fatal , Substantial ,101275
 SEA08LA028 , 11/16/2007 , VMC , Non-Fatal , Substantial ,95982
 NYC08CA040 , 11/16/2007 , VMC , Non-Fatal , Substantial ,74610
 SEA08CA027 , 11/15/2007 , VMC , Non-Fatal , Substantial ,76449
 ANC08WA021 , 11/15/2007 , VMC , Fatal(2) , Destroyed ,14030
 DEN08LA031 , 11/15/2007 , VMC , Non-Fatal , Substantial ,69692
 DFW08FA031 , 11/15/2007 , VMC , Fatal(3) , Destroyed ,47648
 CHI08LA044 , 11/14/2007 , VMC , Non-Fatal , Substantial ,52168
 CHI08LA040 , 11/14/2007 , VMC , Non-Fatal , Substantial ,60251
 SEA08LA033 , 11/14/2007 , VMC , Non-Fatal , Substantial ,35881
 SEA08LA029 , 11/14/2007 , VMC , Non-Fatal , Substantial ,28852
 MIA08CA017 , 11/14/2007 , VMC , Non-Fatal , Substantial ,55341
 ANC08CA019 , 11/14/2007 , VMC , Non-Fatal , Substantial ,84553
 DEN08LA038 , 11/13/2007 , VMC , Non-Fatal , Substantial ,100249
 NYC08CA036 , 11/13/2007 , VMC , Non-Fatal , Substantial ,2463
 NYC08CA035 , 11/12/2007 , VMC , Non-Fatal , Substantial ,22924
 SEA08LA025 , 11/12/2007 , VMC , Non-Fatal , Substantial ,25542
 SEA08CA026 , 11/12/2007 , VMC , Non-Fatal , Substantial ,115972
 LAX08CA030 , 11/11/2007 , VMC , Non-Fatal , Substantial ,2980
 CHI08CA042 , 11/11/2007 , VMC , Non-Fatal , Substantial ,125097
 NYC08CA032 , 11/11/2007 , VMC , Non-Fatal , Destroyed ,46701
 NYC08CA031 , 11/11/2007 , VMC , Non-Fatal , Substantial ,108006
 SEA08LA024 , 11/11/2007 , VMC , Non-Fatal , Substantial ,19578
 DFW08LA030 , 11/11/2007 , VMC , Non-Fatal , Substantial ,59508
 SEA08LA066 , 11/11/2007 , VMC , Non-Fatal , Substantial ,56446
 DFW08LA029 , 11/10/2007 , VMC , Non-Fatal , Substantial ,48800
 NYC08LA034 , 11/10/2007 , VMC , Non-Fatal , Substantial ,129592
 NYC08LA029 , 11/10/2007 , VMC , Non-Fatal , Substantial ,114039
 LAX08CA014 , 11/10/2007 , IMC , Non-Fatal , Substantial ,66800
 NYC08CA030 , 11/10/2007 , VMC , Non-Fatal , Substantial ,106799
 CHI08CA043 , 11/09/2007 , VMC , Non-Fatal , Substantial ,47057
 CHI08CA038 , 11/09/2007 , VMC , Non-Fatal , Substantial ,61824
 ERA13IA006 , 11/09/2007 , IMC , Incident ,  ,68207
 ANC08LA018 , 11/09/2007 , VMC , Non-Fatal , Substantial ,125512
 MIA08CA016 , 11/09/2007 , VMC , Non-Fatal , Substantial ,93019
 LAX08FA028 , 11/09/2007 , VMC , Fatal(3) , Destroyed ,87296
 NYC08LA028 , 11/09/2007 , VMC , Fatal(1) ,  ,76748
 DFW08CA028 , 11/08/2007 , VMC , Non-Fatal , Substantial ,85879
 SEA08FA023 , 11/08/2007 , VMC , Fatal(2) , Destroyed ,63961
 SEA08FA022 , 11/08/2007 , VMC , Fatal(1) , Substantial ,94760
 LAX08LA027 , 11/08/2007 , VMC , Non-Fatal , Substantial ,49608
 DCA08WA008 , 11/07/2007 ,  , Non-Fatal , Substantial ,80520
 DEN08WA029 , 11/07/2007 ,  , Fatal(1) , Destroyed ,23328
 MIA08LA014B , 11/06/2007 , VMC , Non-Fatal , Substantial ,13560
 MIA08LA014A , 11/06/2007 , VMC , Non-Fatal , Substantial ,119121
 SEA08LA021 , 11/06/2007 , IMC , Fatal(3) , Destroyed ,42917
 LAX08FA026 , 11/06/2007 , IMC , Fatal(2) , Destroyed ,52954
 SEA08LA020 , 11/06/2007 , VMC , Non-Fatal , Substantial ,83112
 NYC08LA033 , 11/06/2007 , VMC , Non-Fatal , Substantial ,88574
 DEN08LA027 , 11/06/2007 , VMC , Non-Fatal , Substantial ,111570
 DFW08LA025 , 11/05/2007 , VMC , Non-Fatal , Substantial ,28662
 CEN09RA185 , 11/05/2007 , VMC , Incident ,  ,27177
 NYC08LA027 , 11/05/2007 , VMC , Non-Fatal , Substantial ,129585
 DFW08WA027 , 11/05/2007 , VMC , Non-Fatal , Destroyed ,35759
 ANC08CA017 , 11/05/2007 , VMC , Non-Fatal , Substantial ,49475
 DEN08CA025 , 11/05/2007 , VMC , Non-Fatal , Substantial ,78904
 NYC08FA026 , 11/05/2007 , VMC , Fatal(3) , Destroyed ,29619
 NYC08CA025 , 11/04/2007 , VMC , Non-Fatal , Substantial ,77512
 CHI08CA034 , 11/04/2007 , VMC , Non-Fatal , Substantial ,31631
 DEN08CA026 , 11/04/2007 , VMC , Non-Fatal , Substantial ,38913
 MIA08RA013 , 11/04/2007 , VMC , Fatal(8) , Destroyed ,35366
 MIA08CA012 , 11/04/2007 , VMC , Non-Fatal , Substantial ,111817
 NYC08LA024 , 11/04/2007 , VMC , Fatal(2) , Destroyed ,12259
 DFW08CA024 , 11/03/2007 , VMC , Non-Fatal , Substantial ,19790
 CHI08FA033 , 11/03/2007 , VMC , Fatal(1) , Substantial ,33260
 SEA08CA019 , 11/03/2007 , VMC , Non-Fatal , Substantial ,107079
 DFW08CA023 , 11/03/2007 , VMC , Non-Fatal , Substantial ,15174
 MIA08CA011 , 11/02/2007 , VMC , Non-Fatal , Substantial ,23620
 DFW08CA022 , 11/02/2007 , VMC , Non-Fatal , Substantial ,18128
 LAX08LA025 , 11/02/2007 , VMC , Non-Fatal , Substantial ,105291
 DEN08IA022 , 11/02/2007 , VMC , Incident , Minor ,56451
 SEA08LA017 , 11/02/2007 , VMC , Fatal(1) , Substantial ,102068
 DEN08CA023 , 11/02/2007 , VMC , Non-Fatal , Substantial ,57995
 NYC08FA023 , 11/02/2007 , VMC , Fatal(1) , Destroyed ,146
 CHI08LA031 , 11/01/2007 , VMC , Fatal(1) , Destroyed ,18770
 MIA08FA010 , 11/01/2007 , VMC , Fatal(1) , Substantial ,42774
 CHI08CA032 , 11/01/2007 , VMC , Non-Fatal , Substantial ,13776
 CHI08CA035 , 11/01/2007 , VMC , Non-Fatal , Substantial ,103702
 DFW08LA035 , 11/01/2007 , VMC , Non-Fatal , Substantial ,69826
 MIA08WA020 , 11/01/2007 , VMC , Fatal(3) , Destroyed ,57906
 SEA08CA016 , 10/31/2007 , VMC , Non-Fatal , Substantial ,31358
 DFW08WA026 , 10/31/2007 , VMC , Non-Fatal , Substantial ,92805
 SEA08CA018 , 10/31/2007 , VMC , Non-Fatal , Substantial ,104375
 SEA08LA015A , 10/30/2007 , VMC , Non-Fatal , Substantial ,109896
 SEA08LA015B , 10/30/2007 , VMC , Non-Fatal , Minor ,102955
 LAX08CA037 , 10/30/2007 , VMC , Non-Fatal , Substantial ,44736
 LAX08CA022 , 10/29/2007 , VMC , Non-Fatal , Substantial ,28135
 CHI08CA029 , 10/29/2007 , VMC , Non-Fatal , Substantial ,55871
 DEN08LA028 , 10/29/2007 , VMC , Non-Fatal , Substantial ,8818
 SEA08LA014 , 10/29/2007 , VMC , Non-Fatal , Substantial ,86148
 CHI08GA028 , 10/29/2007 , VMC , Non-Fatal , Substantial ,120162
 ANC08CA011 , 10/29/2007 , VMC , Non-Fatal , Substantial ,117547
 ENG08IA001 , 10/28/2007 ,  , Incident , Minor ,112385
 LAX08FA023 , 10/28/2007 , VMC , Fatal(1) , Substantial ,19908
 ANC08LA010 , 10/28/2007 , VMC , Non-Fatal , Substantial ,45098
 DEN08LA021 , 10/28/2007 , VMC , Non-Fatal , Substantial ,43810
 CHI08CA030 , 10/28/2007 , VMC , Non-Fatal , Substantial ,22981
 ANC08WA016 , 10/28/2007 ,  , Fatal(2) , Substantial ,68134
 SEA08FA013 , 10/28/2007 , VMC , Fatal(1) , Destroyed ,23518
 DCA08WA007 , 10/28/2007 ,  , Non-Fatal , Substantial ,109188
 DFW08WA034 , 10/28/2007 , VMC , Fatal(2) , Destroyed ,1150
 ANC08WA013 , 10/27/2007 ,  , Fatal(2) , Substantial ,44586
 NYC08FA022 , 10/27/2007 , IMC , Non-Fatal , Substantial ,84299
 SEA08LA012 , 10/27/2007 , VMC , Non-Fatal , Substantial ,103793
 NYC08FA020 , 10/27/2007 , VMC , Fatal(2) , Substantial ,35032
 NYC08LA021 , 10/26/2007 , VMC , Non-Fatal , Substantial ,103291
 LAX08FA001 , 10/26/2007 , VMC , Fatal(2) , Destroyed ,93909
 DEN08LA017 , 10/26/2007 , VMC , Fatal(1) , Destroyed ,127925
 DFW08CA021 , 10/26/2007 , VMC , Non-Fatal , Substantial ,128097
 LAX08CA021 , 10/26/2007 , VMC , Non-Fatal , Substantial ,26149
 ANC08WA012 , 10/26/2007 ,  , Fatal(3) , Substantial ,95886
 CHI08CA008 , 10/25/2007 , VMC , Non-Fatal , Substantial ,125425
 LAX08CA018 , 10/25/2007 , VMC , Non-Fatal , Substantial ,120078
 LAX08CA019 , 10/25/2007 , VMC , Non-Fatal , Substantial ,60625
 LAX08CA020 , 10/25/2007 , VMC , Non-Fatal , Substantial ,115031
 LAX08LA024 , 10/25/2007 , VMC , Fatal(1) , Substantial ,37077
 NYC08LA019 , 10/24/2007 , VMC , Non-Fatal , Substantial ,69252
 DFW08LA020 , 10/24/2007 , VMC , Non-Fatal , Substantial ,12194
 DEN08CA020 , 10/24/2007 , VMC , Non-Fatal , Substantial ,80188
 DEN08CA019 , 10/24/2007 , VMC , Non-Fatal , Substantial ,10430
 LAX08CA016 , 10/24/2007 , VMC , Non-Fatal , Substantial ,21262
 ANC08CA009 , 10/24/2007 , VMC , Non-Fatal , Substantial ,55236
 CHI08FA027 , 10/23/2007 , VMC , Fatal(2) , Substantial ,126917
 ANC08CA008 , 10/23/2007 , VMC , Non-Fatal , Substantial ,112190
 MIA08LA006 , 10/23/2007 , VMC , Non-Fatal , Substantial ,16342
 MIA08LA007 , 10/23/2007 , VMC , Non-Fatal , Substantial ,2201
 MIA08WA059 , 10/23/2007 , VMC , Fatal(2) , Substantial ,53687
 DCA08WA010 , 10/22/2007 , VMC , Fatal(2) , Destroyed ,47168
 MIA08LA005A , 10/21/2007 , VMC , Non-Fatal , Substantial ,8782
 MIA08LA005B , 10/21/2007 , VMC , Non-Fatal , Substantial ,75468
 MIA08CA008 , 10/21/2007 , VMC , Non-Fatal , Substantial ,663
 DEN08CA016 , 10/21/2007 , VMC , Non-Fatal , Substantial ,74740
 ANC08CA005 , 10/20/2007 , VMC , Non-Fatal , Substantial ,117904
 NYC08CA017 , 10/20/2007 , VMC , Non-Fatal , Substantial ,59599
 NYC08LA018 , 10/20/2007 , VMC , Non-Fatal , Substantial ,29479
 DEN08LA015 , 10/20/2007 , VMC , Non-Fatal , Substantial ,105096
 LAX08CA015 , 10/20/2007 , VMC , Non-Fatal , Substantial ,94421
 DFW08CA033 , 10/20/2007 , VMC , Non-Fatal , Substantial ,49058
 CHI08IA022 , 10/20/2007 , VMC , Incident , Minor ,47795
 NYC08LA015 , 10/20/2007 , VMC , Non-Fatal , Substantial ,125451
 DFW08LA018 , 10/20/2007 , VMC , Non-Fatal , Substantial ,96114
 ANC08LA004 , 10/20/2007 , VMC , Non-Fatal , Substantial ,23241
 CHI08CA024 , 10/19/2007 , VMC , Non-Fatal , Destroyed ,106258
 ANC08WA014 , 10/19/2007 ,  , Fatal(1) , Destroyed ,64874
 CHI08CA023 , 10/19/2007 , VMC , Non-Fatal , Destroyed ,100136
 NYC08CA016 , 10/19/2007 , VMC , Non-Fatal , Substantial ,51774
 CHI08CA025 , 10/19/2007 , VMC , Non-Fatal , Substantial ,124301
 CHI08CA021 , 10/18/2007 , VMC , Non-Fatal , Substantial ,36127
 DFW08CA016 , 10/18/2007 , VMC , Non-Fatal , Destroyed ,121855
 ANC08LA007 , 10/18/2007 , VMC , Non-Fatal , Substantial ,52648
 DFW08LA017 , 10/18/2007 , VMC , Non-Fatal , Substantial ,38803
 DFW08LA019 , 10/18/2007 , VMC , Non-Fatal , Substantial ,39916
 DEN08WA018 , 10/17/2007 , VMC , Fatal(2) , Destroyed ,95301
 DFW08FA015 , 10/17/2007 , VMC , Fatal(5) , Destroyed ,16505
 DEN08LA014 , 10/17/2007 , VMC , Non-Fatal , Substantial ,63771
 CHI08CA019 , 10/17/2007 , VMC , Non-Fatal , Substantial ,51960
 DEN08LA013 , 10/17/2007 , IMC , Non-Fatal , Substantial ,111305
 LAX08CA013 , 10/16/2007 , VMC , Non-Fatal , Substantial ,114340
 SEA08CA011 , 10/15/2007 , VMC , Non-Fatal , Substantial ,17379
 CHI08CA017 , 10/15/2007 , VMC , Non-Fatal ,  ,65992
 CHI08CA018 , 10/15/2007 , VMC , Non-Fatal , Substantial ,104578
 LAX08CA011 , 10/14/2007 , VMC , Non-Fatal , Substantial ,7443
 SEA08CA010 , 10/14/2007 , VMC , Non-Fatal , Substantial ,67768
 DEN08LA011 , 10/14/2007 , VMC , Non-Fatal , Substantial ,89581
 NYC08FA012 , 10/14/2007 , VMC , Fatal(4) , Destroyed ,47417
 DFW08LA012 , 10/13/2007 , VMC , Non-Fatal , Substantial ,30231
 DFW08LA013 , 10/13/2007 , VMC , Non-Fatal , Substantial ,14343
 CHI08LA016 , 10/13/2007 , VMC , Non-Fatal , Substantial ,79924
 ANC08WA015 , 10/13/2007 ,  , Fatal(3) , Substantial ,105654
 NYC08WA014 , 10/13/2007 , IMC , Fatal(1) , Destroyed ,29495
 LAX08CA012 , 10/13/2007 , VMC , Non-Fatal , Substantial ,98183
 CHI08CA036 , 10/13/2007 , VMC , Non-Fatal , Substantial ,87554
 NYC08WA013 , 10/12/2007 , VMC , Fatal(7) , Substantial ,83683
 DEN08LA010 , 10/12/2007 , VMC , Non-Fatal , Substantial ,74603
 DFW08CA011 , 10/12/2007 , VMC , Non-Fatal , Substantial ,83191
 LAX08CA010 , 10/11/2007 , VMC , Non-Fatal , Substantial ,110103
 DFW08CA007 , 10/11/2007 , VMC , Non-Fatal , Substantial ,57026
